TH;Cod Comarca;Cod Municipio;Ámbito;Censo;Votantes;Nulos;Válidos;Blancos;Votos Candidatura;Abstención;PSE-PSOE;PP;PH;PCTE / ELAK;PACMA/ATTKAA;PUM+J;Cs;I.FEM;SAIn;FAC;VOX;M.C.R.;ALTER;PIRATAS;RECORTES CERO-GV;EAJ-PNV... (E19);CXE;EH BILDU... (E19);CONTIGO;ADÑ;AxSÍ;PACT;CPE;MIEL;IZQP;PCPE-PCPC-PCPA;PODEMOS-IU;JUNTS;IGRE;VOLT;CV-EC;CEX-CREX-PREX
Bizkaia;"	03";"	005";ARAKALDO;112;88;1;87;7;80;24;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;35;0;30;0;0;0;0;0;0;0;0;7;1;0;0;0;0
Bizkaia;"	03";"	006";ARANTZAZU;312;267;1;266;3;263;45;5;0;0;1;1;0;1;0;0;0;0;0;0;0;0;119;0;123;0;0;0;0;0;0;0;0;11;1;0;0;1;0
Bizkaia;"	03";"	009";ARRANKUDIAGA;769;651;1;650;4;646;118;18;7;0;0;4;0;9;0;0;0;2;0;0;0;0;297;0;286;0;0;0;0;0;0;0;0;22;1;0;0;0;0
Bizkaia;"	03";"	011";ARRIGORRIAGA;9659;6277;33;6244;59;6185;3382;1064;193;3;2;77;5;139;7;0;0;36;0;0;2;5;2269;3;1548;3;1;0;2;2;1;0;7;766;28;4;2;16;0
Bizkaia;"	03";"	015";BASAURI;33153;20665;95;20570;147;20423;12488;5302;1142;24;17;199;6;434;19;2;3;183;2;6;26;17;7598;8;2592;3;3;1;11;8;3;6;15;2682;35;5;17;48;6
Bizkaia;"	03";"	019";BERRIZ;3466;2468;9;2459;14;2445;998;351;77;3;1;12;2;49;8;4;0;18;1;2;1;3;931;3;665;0;0;0;1;6;0;1;3;285;8;0;0;6;4
Bizkaia;"	03";"	023";ARTEA;579;494;6;488;2;486;85;8;10;0;0;0;1;4;0;0;0;0;0;0;0;0;236;0;196;0;0;0;0;0;0;0;0;31;0;0;0;0;0
Bizkaia;"	03";"	024";ZEANURI;1005;810;8;802;2;800;195;7;6;0;0;1;0;8;0;0;0;0;0;1;0;1;389;0;350;0;0;0;0;1;0;0;0;31;5;0;0;0;0
Bizkaia;"	03";"	025";ZEBERIO;860;704;3;701;3;698;156;13;3;0;0;2;0;3;1;0;0;2;0;0;0;0;364;0;273;0;0;0;0;0;0;0;0;35;2;0;0;0;0
Bizkaia;"	03";"	026";DIMA;1139;953;9;944;11;933;186;6;2;2;0;4;0;8;4;0;0;3;0;2;1;1;369;0;480;0;0;0;0;1;0;0;0;43;6;0;0;1;0
